Date,Aircraft Type,Aircraft Registration,Route of Flight From,Route of Flight Via,Route of Flight To,Duration of Flight,PIC,SIC,Cross Country,Dual Received,Solo,Part 121,Part 135,Day T-O,Day Ldg,Night T-O,Night Ldg,Approaches Instrument,Approaches Non-Instrument,Night,Actual Instrument,Simulated Instrument,Flight Simulator
2017-08-31,E170,N739YX,KORD,,KCMH,1:20,,1:20,1:20,,,,,1,1,,,,,,1:20,,
2017-08-31,E170,N739YX,KCMH,,KORD,1:29,,1:29,1:29,,,,,1,1,,,,,,1:29,,
2017-09-01,E170,N732YX,KORD,,KDTW,1:16,,1:16,1:16,,,,,1,1,,,,,,1:16,,
2017-09-01,E170,N732YX,KDTW,,KEWR,2:06,,2:06,2:06,,,,,1,,,1,,,0:55,2:06,,
2017-09-01,E170,N654RW,KEWR,,KBWI,0:55,,0:55,0:55,,,,,,,1,1,,,0:55,0:55,,
2017-09-02,E170,N748YX,KEWR,,KRDU,1:31,,1:31,1:31,,,,,1,1,,,,,,1:31,,
2017-09-02,E170,N748YX,KRDU,,KORD,2:06,,2:06,2:06,,,,,1,1,,,,,,2:06,,
2017-09-05,E170,N741YX,KORD,,CYUL,1:57,,1:57,1:57,,,,,,,1,1,,,1:57,1:57,,
2017-09-07,E170,N216JQ,KORD,,KLGA,2:04,,2:04,2:04,,,,,1,1,,,,,,2:04,,
2017-09-07,E170,N868RW,KLGA,,KDFW,3:48,,3:48,3:48,,,,,1,1,,,,,,3:48,,
2017-09-08,E170,N867RW,KDFW,,KDTW,2:53,,2:53,2:53,,,,,1,1,,,,,,2:53,,
2017-09-08,E170,N867RW,KDTW,,KDFW,2:40,,2:40,2:40,,,,,1,1,,,,,,2:40,,
2017-09-09,E170,N868RW,KDFW,,KDTW,2:38,,2:38,2:38,,,,,1,1,,,,,,2:38,,
2017-09-10,E170,N205JQ,KLEX,,KDCA,1:16,,1:16,1:16,,,,,,1,1,,,,0:13,1:16,,
2017-09-10,E170,N205JQ,KDCA,,KLGA,1:10,,1:10,1:10,,,,,1,1,,,,,,1:10,,
2017-09-10,E170,N209JQ,KLGA,,KORD,2:30,,2:30,2:30,,,,,1,1,,,,,,2:30,,
2017-09-13,E170,N656RW,KORD,,KJAX,2:17,,2:17,2:17,,,,,1,1,,,,,,2:17,,
2017-09-13,E170,N656RW,KJAX,,KDTW,2:02,,2:02,2:02,,,,,1,1,,,,,,2:02,,
2017-09-14,E170,N725YX,KDTW,,KEWR,1:41,,1:41,1:41,,,,,1,1,,,,,,1:41,,
2017-09-14,E170,N641RW,KEWR,,KDFW,3:32,,3:32,3:32,,,,,1,1,,,,,,3:32,,
2017-09-15,E170,N732YX,KDFW,,KEWR,3:18,,3:18,3:18,,,,,1,1,,,,,,3:18,,
2017-09-15,E170,N634RW,KEWR,,CYOW,1:18,,1:18,1:18,,,,,1,1,,,,,,1:18,,
2017-09-16,E170,N731YX,KEWR,,KMEM,2:25,,2:25,2:25,,,,,1,1,,,,,,2:25,,
2017-09-16,E170,N731YX,KMEM,,KORD,1:44,,1:44,1:44,,,,,1,1,,,,,,1:44,,
2017-09-16,E170,N639RW,CYOW,,KEWR,1:12,,1:12,1:12,,,,,,1,1,,,,0:10,1:12,,
2017-09-17,E170,N743YX,KORD,,KBTV,2:03,,2:03,2:03,,,,,1,1,,,,,,2:03,,
2017-09-18,E170,N730YX,KBTV,,KEWR,1:09,,1:09,1:09,,,,,,1,1,,,,0:10,1:09,,
2017-09-18,E170,N730YX,KEWR,,KCVG,1:47,,1:47,1:47,,,,,1,1,,,,,,1:47,,
2017-09-18,E170,N730YX,KCVG,,KORD,1:29,,1:29,1:29,,,,,1,1,,,,,,1:29,,
2017-09-21,E170,N201JQ,KORD,,KLGA,2:02,,2:02,2:02,,,,,1,1,,,,,,2:02,,
2017-09-21,E170,N206JQ,KLGA,,KBOS,1:12,,1:12,1:12,,,,,1,1,,,,,,1:12,,
